,ntacode,ntaname,count
1094,004620003,004620,0
1095,004620051,004620,0
1096,009254097,009254,0
1097,009120008,009120,0
1098,004621096,004621,0
1099,007209035,007209,0
1100,004522043,004522,0
1101,009208026,009208,0
1102,004599010,004599,0
1103,005667002,005667,0
1104,005503014,005503,0
1105,005503017,005503,1
1106,008502002,008502,1
1107,001419013,001419,0
1108,004579089,004579,0
1109,004579090,004579,0
1110,005204004,005204,0
1111,004633038,004633,0
1112,004633039,004633,0
1113,005503035,005503,0
1114,005504006,005504,0
1115,002553013,002553,0
1116,004637051,004637,0
1117,009110037,009110,12
1118,006402092,006402,0
1119,006108012,006108,0
1120,005103031,005103,0
1121,004404017,004404,0
1122,004404018,004404,0
1123,002606016,002606,0
1124,005604031,005604,0
1125,005201062,005201,0
1126,005663005,005663,10
1127,005201063,005201,0
1128,005101031,005101,0
1129,001416043,001416,0
1130,002607021,002607,0
1131,005101032,005101,1
1132,005101035,005101,0
1133,005101042,005101,1
1134,001415021,001415,0
1135,004620052,004620,0
1136,001418036,001418,0
1137,001418038,001418,0
1138,004620057,004620,0
1139,004620058,004620,0
1140,004622059,004622,0
1141,004622062,004622,0
1142,005634032,005634,2
1143,007301008,007301,0
1144,002413025,002413,1
1145,005503047,005503,0
1146,005104011,005104,0
1147,005503031,005503,0
1148,002513007,002513,0
1149,002513010,002513,0
1150,002513014,002513,0
1151,002513016,002513,0
1152,002513018,002513,0
1153,004630036,004630,1
1154,005201069,005201,0
1155,004633090,004633,0
1156,001113091,001113,0
1157,009229059,009229,0
1158,009108045,009108,1
1159,004530018,004530,0
1160,004621081,004621,0
1161,004627005,004627,0
1162,004627008,004627,0
1163,004612067,004612,0
1164,006103039,006103,0
1165,008505069,008505,0
1166,004613039,004613,0
1167,005202030,005202,0
1168,004619039,004619,0
1169,004413009,004413,1
1170,004620008,004620,0
1171,004620012,004620,0
1172,004620013,004620,0
1173,004620016,004620,0
1174,004620018,004620,0
1175,009112060,009112,3
1176,005106001,005106,2
1177,009202009,009202,0
1178,002102044,002102,0
1179,001421066,001421,0
1180,004633052,004633,0
1181,004579063,004579,0
1182,004579073,004579,0
1183,002102043,002102,0
1184,004622003,004622,0
1185,009257019,009257,0
1186,002420074,002420,0
1187,002432015,002432,0
1188,004619040,004619,0
1189,005203028,005203,1
1190,004523098,004523,1
1191,008512013,008512,16
1192,004631091,004631,3
1193,005636081,005636,0
1194,004637057,004637,0
1195,004642076,004642,0
1196,004642078,004642,0
1197,004642097,004642,0
1198,004642098,004642,0
1199,005103002,005103,0
1200,005101027,005101,0
1201,005101028,005101,0
1202,005101030,005101,1
1203,005204045,005204,1
1204,005204048,005204,0
1205,005207001,005207,0
1206,005101034,005101,1
1207,009106015,009106,11
1208,004618050,004618,0
1209,004618052,004618,0
1210,004554044,004554,0
1211,004619047,004619,0
1212,009254079,009254,0
1213,002529023,002529,0
1214,004620005,004620,1
1215,004622067,004622,0
1216,002589049,002589,0
1217,004622068,004622,0
1218,002529024,002529,1
1219,004643006,004643,0
1220,002622033,002622,0
1221,008314022,008314,3
1222,002529054,002529,0
1223,002529046,002529,2
1224,002529055,002529,0
1225,001405001,001405,1
1226,005105021,005105,0
1227,005101037,005101,0
1228,004579092,004579,0
1229,008513026,008513,2
1230,004631008,004631,0
1231,004631009,004631,0
1232,004618056,004618,0
1233,004618057,004618,0
1234,004618058,004618,0
1235,002404049,002404,0
1236,004621043,004621,0
1237,002420075,002420,0
1238,002432001,002432,0
1239,002432009,002432,0
1240,002432018,002432,0
1241,009129088,009129,1
1242,009113017,009113,0
