Direccion;Barrio;Latitud;Longitud;Tipo_vivienda;Dproymes;Localidad;Cod_proyecto;Proyecto;
Av. Cr. 70 # 25-49;Ciudad Salitre;4.6643;-74.1121;No VIS;47;Fontibón;56025;Gran Reserva de Valdivia;
Cr. 84 # 77A-40;La Granja;4.699569;-74.100685;VIS;26;Engativá;56041;Eka Apartaestudios;
Av. Cl. 13 # 68F-25;Alsacia;4.6406;-74.1247;No VIS;22;Kennedy;56049;La Rioja Alsacia Reservado;
Av. Cr. 72 # 24C-00;Modelia;4.663146;-74.114757;No VIS;2;Fontibón;56050;Moncalieri;
Cl. 42G Sur # 74-30;Timiza;4.6111;-74.1582;VIS;228;Kennedy;56054;Torres de Timiza;
Cr. 68 # 5-21;Trinidad Galan;4.6267;-74.1238;No VIS;7;Puente Aranda;56055;Porto Américas;
Cl. 24 # 68B-85;Ciudad Salitre;4.652;-74.1102;No VIS;10;Fontibón;56062;Avatar;
Cl. 59C Sur # 88H-15;Bosa la Libertad;4.6261;-74.1924;VIS;202;Bosa;56066;Atalaia;
Cl. 2 # 93D-54;Tierra Buena;4.6524;-74.1704;VIS;214;Kennedy;56073;Parque Central Tintal III;
Av. Cr. 72 # 72-15;Santa Maria del Lago;4.6879;-74.0949;No VIS;59;Engativá;56074;Allegro Reservado;
Cl. 72F # 114A-71;Villas de Granada;4.71515;-74.127957;No VIS;33;Engativá;56076;Sabana de los Cerezos;
Cr. 88 # 8F-90;El Tintal;4.648802;-74.148181;No VIS;87;Kennedy;56084;Aragón Castilla Reservado;
Av. Cl. 13 # 68F-25;Alsacia;4.6409;-74.1244;No VIS;108;Kennedy;56086;La Ribera Alsacia Reservado;
Cl. 77B # 129-70;El Porvenir;4.71999659;-74.12304698;No VIS;76;Engativá;56091;Ciud. Parq. Ctral de Occidente III;
Cr. 88 # 8F-90;El Tintal;4.648802;-74.148181;No VIS;71;Kennedy;56093;Burgos Castilla Reservado;
Cl. 13A # 82B-31;Villas Alsacia;4.6528;-74.1406;No VIS;51;Kennedy;56095;Pinares de Alsacia;
Cl. 59B Sur # 86A-15;Bosa la Libertad;4.62095;-74.220787;VIS;75;Bosa;56102;Urb. Torres Altamira;
Cl. 24 # 86-08;Modelia;4.672267;-74.125379;No VIS;19;Fontibón;56106;Reserva de Modelia;
Cr. 87C # 87B-38 Sur;San Bernardino;4.636932;-74.164681;VIS;5;Kennedy;56107;Portales de Avanza I;
Cr. 45A # 91-56;Castellana;4.67906971;-74.05950542;No VIS;33;Barrios Unidos;56111;Paralela 91 +;
Cl. 58 # 21-26;San Luis;4.64583;-74.07141;No VIS;1;Teusaquillo;56112;Inhaus;
Cl. 17DBis # 123A-05;Fontibon;4.688525;-74.158767;VIS;60;Fontibón;56113;Aragón;
Cr. 7 # 31A-56;San Martin;4.6420415;-74.0644713;No VIS;55;Chapinero;56116;Equilibrium 2;
Av. Cl. 80 # 116B-100;Gran Granada;4.7227;-74.1242;No VIS;7;Engativá;56120;Brisas de Granada II;
Dg. 82G # 75-41;Minuto;4.70444067;-74.09295924;No VIS;6;Engativá;56121;Elite Minuto;
Cr. 116 # 77B-35;Villas de Granada;4.72235;-74.12532;No VIS;32;Engativá;56122;Altos de Granada;
Dg. 77B # 123-20;Villas de Granada;4.72145;-74.12132;No VIS;103;Engativá;56123;Ciprés de la Florida;
Av. Cl. 17 # 72-85;El Vergel;4.65098;-74.12934;No VIS;138;Fontibón;56125;Zentral - Izola;
Cl. 61 # 37-91;Nicolas de Federman;4.6516;-74.08253;No VIS;3;Teusaquillo;56127;Edificio Daned;
Cl. 52 # 17-28;Teusaquillo;4.64001;-74.06965;No VIS;6;Teusaquillo;56131;K52;
Cr. 93 # 54-28 Sur;Bosa Porvenir;4.634766;-74.186615;VIS;115;Bosa;56135;Valenti;
Dg. 77B # 124-40;Villas de Granada;4.72087625;-74.1343328;No VIS;13;Engativá;56136;Reserva de Granada IV;
Cl. 33 # 6-37;Centro;4.619021;-74.066467;No VIS;16;Santa Fe;56137;Urban;
Cr. 35Bis # 60-45;Nicolas de Federman;4.65077;-74.07933;No VIS;7;Teusaquillo;56139;Edificio Rumiraky;
Av. Cr. 68 # 19-52;Puente Aranda;4.644071;-74.111185;No VIS;91;Fontibón;56140;Urban Salitre - Zurich;
